metric,value
total_reviews_original,240.0
total_reviews_after_removing_uncertain,234.0
uncertain_reviews,6.0
uncertain_percentage,2.5
coverage_percentage,97.5
agreement_count_with_weak_labels,160.0
conflict_count_with_weak_labels,74.0
agreement_percentage_without_uncertain,68.38
conflict_percentage_without_uncertain,31.62
accuracy_without_uncertain_vs_weak_labels,0.6838
weighted_precision_without_uncertain_vs_weak_labels,0.7979
weighted_recall_without_uncertain_vs_weak_labels,0.6838
weighted_f1_without_uncertain_vs_weak_labels,0.7233
accuracy_with_uncertain_counted_as_unclassified,0.6667
weighted_precision_with_uncertain_counted_as_unclassified,0.8021
weighted_recall_with_uncertain_counted_as_unclassified,0.6667
weighted_f1_with_uncertain_counted_as_unclassified,0.715
